"","fiscalyear","aea","dist","de_district","district_name","amount","revenues_per_pupil"
"1312",2020,15,3312,3312,"Keokuk",36576109,19507
"1313",2020,15,3330,3330,"Keota",7289535,21916
"1314",2020,15,4203,4203,"Mediapolis",14859839,18401
"1315",2020,15,4491,4491,"Moravia",8239869,23472
"1316",2020,15,4509,4509,"Morning Sun",5227813,25424
"1317",2020,15,4518,4518,"Moulton-Udell",4842768,22084
"1318",2020,15,4536,4536,"Mount Pleasant",34259206,17824
"1319",2020,15,4689,4689,"New London",10314371,20827
"1320",2020,15,4776,4776,"North Mahaska",11484035,25515
"1321",2020,15,5013,5013,"Oskaloosa",38742245,16642
"1322",2020,15,5049,5049,"Ottumwa",85089048,18281
"1323",2020,15,5163,5163,"Pekin",15431567,25796
"1324",2020,15,5895,5895,"Seymour",8169266,29815
"1325",2020,15,6012,6012,"Sigourney",13521157,24387
"1326",2020,15,6462,6462,"Tri-County",7830118,27397
"1327",2020,15,6592,6592,"Van Buren County",22219226,22235
"1328",2020,15,6700,6700,"Waco",10487310,21751
"1329",2020,15,6759,6759,"Wapello",13802128,22293
"1330",2020,15,6854,6854,"Wayne",12550121,21928
"1331",2020,15,6937,6937,"West Burlington",15156790,32024
"1332",2020,15,7047,7047,"Winfield-Mt Union",7523665,23416
