"","feature_id","feature_name","State","County","elev_in_m","elev_in_ft","map_name","lat","long"
"266",466655,"Grove Post Office (historical)","IA","Marshall",296,971,"State Center NW",42.147764,-93.1496476
"267",466656,"Illinois Grove Post Office (historical)","IA","Marshall",322,1056,"State Center NW",42.1910968,-93.2118708
"268",466657,"Roland Post Office (historical)","IA","Story",308,1010,"Story City",42.1660964,-93.5318802
"269",466658,"Willow Grove Post Office (historical)","IA","Story",303,994,"Story City",42.1388735,-93.6013274
"270",466659,"P L Post Office (historical)","IA","Story",297,974,"Ames West",42.0241524,-93.6560527
"271",466660,"Palestine Post Office (historical)","IA","Story",296,971,"Huxley",41.9122092,-93.6163293
"272",466661,"Elba Post Office (historical)","IA","Carroll",431,1414,"Templeton",41.9188746,-94.9185984
"273",466662,"Empire Post Office (historical)","IA","Wright",379,1243,"Clarion",42.661918,-93.6538232
"274",466663,"Oakland Post Office (historical)","IA","Wright",350,1148,"Popejoy",42.6227538,-93.4865957
"275",466664,"Otisville Post Office (historical)","IA","Wright",358,1175,"Dows West",42.6602528,-93.5043734
"276",466665,"Eagle Grove Post Office (historical)","IA","Wright",342,1122,"Eagle Grove",42.6874711,-93.9335586
"277",466666,"Wool Stock Post Office (historical)","IA","Wright",341,1119,"Woolstock",42.5730284,-93.8104973
"278",466667,"Willoughby Post Office (historical)","IA","Butler",273,896,"Coster",42.6249808,-92.6254693
"279",466668,"Ingham Post Office (historical)","IA","Butler",320,1050,"Hansell",42.8735815,-93.1038103
"280",466669,"Tara Post Office (historical)","IA","Webster",354,1161,"Moorland",42.4827503,-94.3330233
"281",466670,"Silver Creek Post Office (historical)","IA","Ida",381,1250,"Ida Grove NW",42.4366522,-95.4322219
"282",466671,"Waterman Post Office (historical)","IA","Wright",362,1188,"Clarion SW",42.582752,-93.712715
"283",466672,"Ortho Post Office (historical)","IA","Webster",342,1122,"Evanston",42.411916,-94.1069018
"284",466673,"Willow Dale Post Office (historical)","IA","Ida",417,1368,"Holstein",42.4285984,-95.5930592
"285",466674,"Bach Grove Post Office (historical)","IA","Wright",339,1112,"Eagle Grove SW",42.6169157,-93.9038351
"286",466675,"Otisville Post Office (historical)","IA","Wright",351,1152,"Dows West",42.6605302,-93.5413192
"287",466676,"Saratoga Post Office (historical)","IA","Hamilton",332,1089,"Woolstock",42.5227509,-93.8149423
"288",466677,"Polands Grove Post Office (historical)","IA","Hamilton",347,1138,"Blairsburg",42.4055328,-93.7279955
"289",466678,"Rose Grove Post Office (historical)","IA","Hamilton",358,1175,"Williams",42.3980357,-93.5779903
"290",466679,"Hesperia Post Office (historical)","IA","Webster",335,1099,"Lehigh",42.3596951,-94.0460657
"291",466680,"Palermo Post Office (historical)","IA","Grundy",333,1093,"Ivester",42.3458165,-92.8860336
"292",466681,"Elizabeth Post Office (historical)","IA","Grundy",284,932,"New Hartford",42.5283162,-92.5613022
"293",466682,"Lincoln Centre Post Office (historical)","IA","Grundy",301,988,"Dike",42.4594268,-92.6913072
