"","year","county","county_FIPS","state_FIPS","othertxix_elig","othertxix_recip","othertxix_pmt","totaltxix_elig","totaltxix_recip","totaltxix_pmt","medneedy_elig","medneedy_pmt","medneedy_recip","avg_reimbursement_per_eligible_person"
"121",2012,"Cherokee","035","19",1548,1462,989650,1556.5,1470,988563.5,7.5,2432,9.5,324.266666666667
"122",2012,"Chickasaw","037","19",1494,1389.5,982423.5,1502,1396.5,988695,8,4798,9,599.75
"123",2012,"Clarke","039","19",1952,1772,1106430.5,1961.5,1787.5,1125661.5,9,20805,17,2311.66666666667
"124",2012,"Clay","041","19",2584.5,2347.5,1406758.5,2592.5,2365,1416014,9.5,9254.5,22.5,974.157894736842
"125",2012,"Clayton","043","19",2217,1961,1800483,2236,1980.5,1807842.5,21,6908,22,328.952380952381
"126",2012,"Clinton","045","19",10249.5,8897.5,5682273.5,10298.5,8963,5737661,48,43710.5,75,910.635416666667
"127",2012,"Crawford","047","19",3039,2890,1541174,3059.5,2909,1552012.5,19.5,9698,19,497.333333333333
"128",2012,"Dallas","049","19",5596,5116,3198296,5626,5150.5,3202595.5,30,11892.5,36,396.416666666667
"129",2012,"Davis","051","19",1169,1063,711702,1177,1070,713229,8,2022,9,252.75
"130",2012,"Decatur","053","19",1751,1591.5,910770.5,1755.5,1595.5,920493,3,659.5,5.5,219.833333333333
"131",2012,"Delaware","055","19",1991,1802.5,1307508.5,2013.5,1825,1322034.5,22,11267,27,512.136363636364
"132",2012,"Des Moines","057","19",9276.5,7909,4226922.5,9318,7975,4296588,41,59793,76,1458.36585365854
"133",2012,"Dickinson","059","19",1869,1685,1086680,1878,1698,1115896,8,17506,15,2188.25
"134",2012,"Dubuque","061","19",14210,12012.5,7882438,14311,12108,7970533,101,54354.5,153,538.163366336634
"135",2012,"Emmet","063","19",1596,1540.5,996332,1602.5,1550,1004900.5,7,4805,9,686.428571428571
"136",2012,"Fayette","065","19",3769.5,3423,2416179.5,3798,3473,2489157,26.5,36159,52.5,1364.49056603774
"137",2012,"Floyd","067","19",2884,2639,1799997,2903,2684,1829653,19,59509.5,45,3132.07894736842
"138",2012,"Franklin","069","19",1675,1571,901973,1678.5,1574.5,903474,3,775,4,258.333333333333
"139",2012,"Fremont","071","19",1099,1097.5,779412.5,1104.5,1101.5,784540.5,5.5,3037.5,7,552.272727272727
"140",2012,"Greene","073","19",1561.5,1444.5,903733.5,1564.5,1447,906649.5,3,1407,4,469
"141",2012,"Grundy","075","19",1125,1003,654756,1129,1010,659738.5,5.5,2698,6.5,490.545454545455
"142",2012,"Guthrie","077","19",1377,1285,812585.5,1387,1294.5,834421.5,10,14852,11.5,1485.2
"143",2012,"Hamilton","079","19",2320,2121.5,1252682,2325.5,2129.5,1255483.5,6,2449,8.5,408.166666666667
"144",2012,"Hancock","081","19",1339.5,1232,731266,1344.5,1237.5,732599,6,906,6,151
"145",2012,"Hardin","083","19",2842.5,2592,1552060,2852.5,2602.5,1564425,10.5,3404.5,14,324.238095238095
"146",2012,"Harrison","085","19",2179.5,2083.5,1563239.5,2182,2086.5,1565075,2,3578.5,8.5,1789.25
"147",2012,"Henry","087","19",3976.5,3336,1876647,3991.5,3356,1886622,17,13418.5,27,789.323529411765
"148",2012,"Howard","089","19",1462.5,1280,774255.5,1473,1290,781119,8,7871,12,983.875
"149",2012,"Humboldt","091","19",1431.5,1322,879840.5,1434,1324.5,881304,3,1548,4,516
"150",2012,"Ida","093","19",917.5,862.5,575393,921,866,575760.5,3,585,5,195
"151",2012,"Iowa","095","19",1919,1604,977334.5,1922.5,1609.5,978460.5,4,1003,6,250.75
"152",2012,"Jackson","097","19",3295.5,2885.5,1587099,3306,2896.5,1603295,10,3430.5,11,343.05
"153",2012,"Jasper","099","19",5605,4939.5,3059999,5650,5017.5,3163116.5,35,88415,77.5,2526.14285714286
"154",2012,"Jefferson","101","19",3287.5,2456.5,1456060.5,3307,2495.5,1498382.5,19.5,37096.5,36,1902.38461538462
"155",2012,"Johnson","103","19",15033,11875.5,7589627,15090.5,11962,7656636,58,75976.5,101.5,1309.93965517241
"156",2012,"Jones","105","19",2493.5,2284.5,1451080,2501,2293.5,1458621.5,8,5420,13.5,677.5
"157",2012,"Keokuk","107","19",1802,1507,922440,1809,1514,926785.5,7,1379.5,7.5,197.071428571429
"158",2012,"Kossuth","109","19",1813,1613,1325432.5,1823,1622.5,1328458,9,3739,11,415.444444444444
"159",2012,"Lee","111","19",7937,6819.5,4100584,7963,6864,4142086.5,23.5,30334.5,47.5,1290.82978723404
"160",2012,"Linn","113","19",32800,27441.5,17496272,32963,27665,17730105.5,161,200684.5,262.5,1246.48757763975
"161",2012,"Louisa","115","19",2116,1775.5,900020.5,2127,1786.5,917162,10.5,2228,11,212.190476190476
"162",2012,"Lucas","117","19",1882,1739,1064469,1889.5,1745.5,1066068,8,2096.5,8.5,262.0625
"163",2012,"Lyon","119","19",972.5,944.5,574423,976,947.5,575772,3,978,4,326
"164",2012,"Madison","121","19",1746,1605.5,1098020.5,1758.5,1617.5,1102048.5,11.5,3873,15,336.782608695652
"165",2012,"Mahaska","123","19",4222.5,3674.5,1891548,4241.5,3708.5,1930710.5,22,28023,37,1273.77272727273
"166",2012,"Marion","125","19",4070.5,3595,2343264,4091.5,3617.5,2352871,22.5,13320,25,592
"167",2012,"Marshall","127","19",9054.5,8186.5,5469404,9104.5,8228,5526327.5,42,65759,82,1565.69047619048
"168",2012,"Mills","129","19",2208.5,2179,4998926,2222,2191.5,5008579.5,12,9798.5,16,816.541666666667
"169",2012,"Mitchell","131","19",1158,1028.5,694694,1163.5,1032.5,695798.5,6,911.5,6,151.916666666667
"170",2012,"Monona","133","19",1542.5,1387.5,924719.5,1547.5,1393.5,928574,5,5046,5.5,1009.2
"171",2012,"Monroe","135","19",1258,1138.5,755641,1265.5,1146.5,757717.5,8,3724,10,465.5
"172",2012,"Montgomery","137","19",2259,2130,1305792.5,2269.5,2142.5,1308171.5,9,5277,16,586.333333333333
"173",2012,"Muscatine","139","19",9347.5,7928,4063587,9396,7991.5,4171646,48.5,62223.5,69,1282.9587628866
"174",2012,"O Brien","141","19",1804.5,1759.5,1847846,1815,1770,1832594.5,11,3945,13.5,358.636363636364
"175",2012,"Osceola","143","19",654.5,620.5,386074.5,656.5,622.5,386297,2,215.5,2,107.75
"176",2012,"Page","145","19",2751,2652.5,1698749.5,2764,2670.5,1720016,15.5,6267.5,18.5,404.354838709677
"177",2012,"Palo Alto","147","19",1279.5,1184.5,1004937,1283,1188,1006019.5,3.5,506.5,3.5,144.714285714286
"178",2012,"Plymouth","149","19",2349,2267,1594285.5,2362.5,2279.5,1604480.5,13,9031.5,14,694.730769230769
"179",2012,"Pocahontas","151","19",1131,1040.5,620608.5,1137,1046.5,628134,5.5,5809,7,1056.18181818182
"180",2012,"Polk","153","19",83423.5,67840,39487766.5,83671.5,68181,39872561.5,248,415332.5,437,1674.72782258065
"181",2012,"Pottawatta","155","19",17954.5,17170.5,10350131,18043,17365,10659457,89,304869,224,3425.49438202247
"182",2012,"Poweshiek","157","19",2495,2090,1293110,2503.5,2097.5,1295752.5,6,2933.5,9,488.916666666667
"183",2012,"Ringgold","159","19",847.5,758.5,589780,849.5,761,590707.5,2,350,2,175
"184",2012,"Sac","161","19",1285.5,1197.5,837978,1288.5,1203,839043.5,4,1470,5,367.5
"185",2012,"Scott","163","19",32905,28301.5,14454578,33030,28432.5,14607541,121.5,162890,216,1340.65843621399
"186",2012,"Shelby","165","19",1631,1516,1264028.5,1641,1524.5,1268054.5,9,3980.5,9.5,442.277777777778
"187",2012,"Sioux","167","19",3089.5,3043,2119673,3096.5,3051.5,2122052.5,7,1470,10,210
"188",2012,"Story","169","19",8484,7256,4507868,8520.5,7300.5,4547485,35.5,46622,39.5,1313.29577464789
"189",2012,"Tama","171","19",2858,2451.5,1187113.5,2866.5,2462,1196204.5,8,3855,10.5,481.875
"190",2012,"Taylor","173","19",959,902.5,691913.5,962,904.5,692108.5,3,150,3.5,50
"191",2012,"Union","175","19",2323.5,2139,1415409.5,2335.5,2155.5,1436436,11.5,7789.5,15.5,677.347826086957
"192",2012,"Van Buren","177","19",1280,1091.5,532806,1282,1094,533007.5,3,420.5,4,140.166666666667
"193",2012,"Wapello","179","19",9637.5,8021,4604063.5,9687.5,8088,4732230.5,51.5,90809,79,1763.28155339806
"194",2012,"Warren","181","19",4728,4322,2954757.5,4742,4340,2970669.5,15,14313.5,21,954.233333333333
"195",2012,"Washington","183","19",3524,2923.5,2259470,3538.5,2938.5,2260952,15,3730.5,15.5,248.7
"196",2012,"Wayne","185","19",1109,1008.5,651198,1113.5,1011,652463.5,3,635,4,211.666666666667
"197",2012,"Webster","187","19",7937,6958,4059904.5,7992,7051.5,4129806,47.5,121576.5,104.5,2559.50526315789
"198",2012,"Winnebago","189","19",1405.5,1267.5,883690.5,1409,1274,884050.5,4,1332,7,333
"199",2012,"Winneshiek","191","19",1899.5,1638.5,1323260,1911.5,1670,1349455,11,33328,35,3029.81818181818
"200",2012,"Woodbury","193","19",22094.5,20604,10410529.5,22172.5,20737.5,10543631,71,166805,150.5,2349.3661971831
"201",2012,"Worth","195","19",914.5,844.5,389937,918,845.5,390752,2,717,3,358.5
"202",2012,"Wright","197","19",2182,2056,1230432.5,2192.5,2066.5,1239516,11,3297.5,13,299.772727272727
"203",2013,"Adair","001","19",1023,936.5,580142,1031.5,942.5,581822.5,7,2252,7.5,321.714285714286
"204",2013,"Adams","003","19",633,593,556819.5,636.5,596,557304,2,711,4,355.5
"205",2013,"Allamakee","005","19",2275,2138.5,1409483.5,2278.5,2140.5,1410075.5,3,541.5,3,180.5
"206",2013,"Appanoose","007","19",2819,2562.5,1631523.5,2826.5,2566.5,1638536.5,5.5,4523,7,822.363636363636
"207",2013,"Audubon","009","19",810,742,493069,817,748.5,495728,6,1709.5,7.5,284.916666666667
"208",2013,"Benton","011","19",3243.5,2813,1926087.5,3257,2832,1949891,13.5,14671,19.5,1086.74074074074
"209",2013,"Black Hawk","013","19",25208.5,21307,12795635.5,25297,21452.5,12974577.5,92,149105.5,156,1620.71195652174
"210",2013,"Boone","015","19",3789,3462,6394476.5,3801.5,3472,6401362,12,3267.5,14,272.291666666667
"211",2013,"Bremer","017","19",2082,1843.5,1133218,2088,1851.5,1137167,7,6295,9.5,899.285714285714
"212",2013,"Buchanan","019","19",2757.5,2401,1679992,2772.5,2434.5,1703584,16,27725,31.5,1732.8125
"213",2013,"Buena Vist","021","19",3966.5,3757,1979600,3976,3770.5,1981532,10.5,4722.5,15.5,449.761904761905
"214",2013,"Butler","023","19",1971,1783.5,1234881,1982.5,1815.5,1268394,11,29150.5,32.5,2650.04545454545
"215",2013,"Calhoun","025","19",1378.5,1221.5,964109.5,1382.5,1226,964815,4,762.5,5,190.625
"216",2013,"Carroll","027","19",2707,2662,2826689.5,2736,2756,2941579.5,27.5,108643,99.5,3950.65454545455
"217",2013,"Cass","029","19",2578.5,2360,1777786.5,2588.5,2370.5,1783994.5,8,5508.5,11,688.5625
"218",2013,"Cedar","031","19",2033,1707.5,902990.5,2038,1712,903659.5,6,907,7,151.166666666667
"219",2013,"Cent. Off","","0",NA,NA,NA,NA,NA,NA,0,0,0,NA
"220",2013,"Cent. Off",NA,NA,NA,435,9713184,NA,435,9713184,0,0,0,NA
"221",2013,"Cerro Gord","033","19",7867,7205,4831947.5,7901.5,7277.5,4892212,35,60264.5,77.5,1721.84285714286
"222",2013,"Cherokee","035","19",1548,1413.5,923524,1556,1422,928503,7.5,2845.5,8,379.4
"223",2013,"Chickasaw","037","19",1468.5,1389,908106,1478,1400.5,913455.5,10,3466.5,11,346.65
"224",2013,"Clarke","039","19",2004.5,1819.5,1278475.5,2011.5,1833,1287502.5,7,9789,13,1398.42857142857
"225",2013,"Clay","041","19",2625.5,2380,1517235,2642.5,2395,1539704,17,12330,20,725.294117647059
"226",2013,"Clayton","043","19",2129,1899,1757067,2136.5,1907.5,1761119.5,5.5,3738,8.5,679.636363636364
"227",2013,"Clinton","045","19",10466,9062,5965654.5,10509.5,9125,5993538,45,31755.5,69,705.677777777778
"228",2013,"Crawford","047","19",3110.5,2933.5,1507642,3128.5,2956,1518689,20,7721,22.5,386.05
"229",2013,"Dallas","049","19",5731.5,5300,3470514,5763.5,5332.5,3506035.5,29,10013,40,345.275862068966
"230",2013,"Davis","051","19",1174.5,1067.5,650380,1177,1069.5,653002.5,3,621,4,207
"231",2013,"Decatur","053","19",1709,1499,826731,1714.5,1506,831492,6,3259,7,543.166666666667
"232",2013,"Delaware","055","19",1958,1778,1345354,1968,1789.5,1358199,10.5,2253,14.5,214.571428571429
