"","year","county_name","dhs_service_area","judicial_district","disposition","reports","unique_children","duplicate_children","County_FIPS","State_FIPS","lat","long"
"124",2004,"Hardin","4-Ames","2-Second JD","Confirmed",15,19,19,"083","19",42.3838803,-93.2404025
"125",2004,"Hardin","4-Ames","2-Second JD","Founded",27,37,46,"083","19",42.3838803,-93.2404025
"126",2004,"Hardin","4-Ames","2-Second JD","Unconfirmed",85,99,122,"083","19",42.3838803,-93.2404025
"127",2004,"Harrison","5-Council Bluffs","4-FourthJD","Confirmed",13,15,16,"085","19",41.6828528,-95.8169209
"128",2004,"Harrison","5-Council Bluffs","4-FourthJD","Founded",12,12,16,"085","19",41.6828528,-95.8169209
"129",2004,"Harrison","5-Council Bluffs","4-FourthJD","Unconfirmed",49,71,77,"085","19",41.6828528,-95.8169209
"130",2004,"Henry","8-Davenport","8-Eigth JD","Confirmed",14,16,16,"087","19",40.9879383,-91.5445241
"131",2004,"Henry","8-Davenport","8-Eigth JD","Founded",127,142,186,"087","19",40.9879383,-91.5445241
"132",2004,"Henry","8-Davenport","8-Eigth JD","Unconfirmed",139,145,197,"087","19",40.9879383,-91.5445241
"133",2004,"Howard","3-Dubuque","1-First JD","Confirmed",8,9,10,"089","19",43.3567673,-92.3171989
"134",2004,"Howard","3-Dubuque","1-First JD","Founded",13,19,21,"089","19",43.3567673,-92.3171989
"135",2004,"Howard","3-Dubuque","1-First JD","Unconfirmed",28,31,35,"089","19",43.3567673,-92.3171989
"136",2004,"Humboldt","4-Ames","2-Second JD","Confirmed",5,9,9,"091","19",42.7764686,-94.2071868
"137",2004,"Humboldt","4-Ames","2-Second JD","Founded",11,17,17,"091","19",42.7764686,-94.2071868
"138",2004,"Humboldt","4-Ames","2-Second JD","Unconfirmed",33,37,46,"091","19",42.7764686,-94.2071868
"139",2004,"Ida","1-Sioux City","3-Third JD","Confirmed",5,6,6,"093","19",42.3868747,-95.5134962
"140",2004,"Ida","1-Sioux City","3-Third JD","Founded",3,7,7,"093","19",42.3868747,-95.5134962
"141",2004,"Ida","1-Sioux City","3-Third JD","Unconfirmed",44,59,69,"093","19",42.3868747,-95.5134962
"142",2004,"Iowa","7-Cedar Rapids","6-SixthJD","Confirmed",4,4,4,"095","19",41.6863229,-92.065524
"143",2004,"Iowa","7-Cedar Rapids","6-SixthJD","Founded",33,48,51,"095","19",41.6863229,-92.065524
"144",2004,"Iowa","7-Cedar Rapids","6-SixthJD","Unconfirmed",58,75,96,"095","19",41.6863229,-92.065524
"145",2004,"Jackson","3-Dubuque","7-Seventh JD","Confirmed",26,38,38,"097","19",42.1717426,-90.5742294
"146",2004,"Jackson","3-Dubuque","7-Seventh JD","Founded",42,60,63,"097","19",42.1717426,-90.5742294
"147",2004,"Jackson","3-Dubuque","7-Seventh JD","Unconfirmed",100,119,152,"097","19",42.1717426,-90.5742294
"148",2004,"Jasper","4-Ames","5-FifthJD","Confirmed",9,9,11,"099","19",41.6860394,-93.053765
"149",2004,"Jasper","4-Ames","5-FifthJD","Founded",71,102,115,"099","19",41.6860394,-93.053765
"150",2004,"Jasper","4-Ames","5-FifthJD","Unconfirmed",174,192,246,"099","19",41.6860394,-93.053765
"151",2004,"Jefferson","7-Cedar Rapids","8-Eigth JD","Confirmed",8,5,8,"101","19",41.0317596,-91.9488774
"152",2004,"Jefferson","7-Cedar Rapids","8-Eigth JD","Founded",47,62,69,"101","19",41.0317596,-91.9488774
"153",2004,"Jefferson","7-Cedar Rapids","8-Eigth JD","Unconfirmed",97,114,149,"101","19",41.0317596,-91.9488774
"154",2004,"Johnson","7-Cedar Rapids","6-SixthJD","Confirmed",72,99,104,"103","19",41.6715511,-91.5880849
"155",2004,"Johnson","7-Cedar Rapids","6-SixthJD","Founded",160,203,239,"103","19",41.6715511,-91.5880849
"156",2004,"Johnson","7-Cedar Rapids","6-SixthJD","Unconfirmed",481,590,748,"103","19",41.6715511,-91.5880849
"157",2004,"Jones","7-Cedar Rapids","6-SixthJD","Confirmed",10,11,11,"105","19",42.1212397,-91.1314352
"158",2004,"Jones","7-Cedar Rapids","6-SixthJD","Founded",34,41,44,"105","19",42.1212397,-91.1314352
"159",2004,"Jones","7-Cedar Rapids","6-SixthJD","Unconfirmed",61,88,106,"105","19",42.1212397,-91.1314352
"160",2004,"Keokuk","7-Cedar Rapids","8-Eigth JD","Confirmed",3,5,6,"107","19",41.336465,-92.1786426
"161",2004,"Keokuk","7-Cedar Rapids","8-Eigth JD","Founded",59,71,91,"107","19",41.336465,-92.1786426
"162",2004,"Keokuk","7-Cedar Rapids","8-Eigth JD","Unconfirmed",77,80,111,"107","19",41.336465,-92.1786426
"163",2004,"Kossuth","1-Sioux City","3-Third JD","Confirmed",4,5,5,"109","19",43.20413,-94.2067199
"164",2004,"Kossuth","1-Sioux City","3-Third JD","Founded",39,56,57,"109","19",43.20413,-94.2067199
"165",2004,"Kossuth","1-Sioux City","3-Third JD","Unconfirmed",62,80,96,"109","19",43.20413,-94.2067199
"166",2004,"Lee","8-Davenport","8-Eigth JD","Confirmed",28,32,33,"111","19",40.6419764,-91.479264
"167",2004,"Lee","8-Davenport","8-Eigth JD","Founded",167,237,272,"111","19",40.6419764,-91.479264
"168",2004,"Lee","8-Davenport","8-Eigth JD","Unconfirmed",329,372,501,"111","19",40.6419764,-91.479264
"169",2004,"Linn","7-Cedar Rapids","6-SixthJD","Confirmed",163,186,199,"113","19",42.0789478,-91.5989646
"170",2004,"Linn","7-Cedar Rapids","6-SixthJD","Founded",537,716,792,"113","19",42.0789478,-91.5989646
"171",2004,"Linn","7-Cedar Rapids","6-SixthJD","Unconfirmed",852,1012,1275,"113","19",42.0789478,-91.5989646
"172",2004,"Louisa","8-Davenport","8-Eigth JD","Confirmed",12,12,13,"115","19",41.2185073,-91.2596184
"173",2004,"Louisa","8-Davenport","8-Eigth JD","Founded",37,66,73,"115","19",41.2185073,-91.2596184
"174",2004,"Louisa","8-Davenport","8-Eigth JD","Unconfirmed",76,100,119,"115","19",41.2185073,-91.2596184
"175",2004,"Lucas","6-Des Moines","5-FifthJD","Confirmed",6,6,9,"117","19",41.0293738,-93.3277207
"176",2004,"Lucas","6-Des Moines","5-FifthJD","Founded",39,46,65,"117","19",41.0293738,-93.3277207
"177",2004,"Lucas","6-Des Moines","5-FifthJD","Unconfirmed",30,27,46,"117","19",41.0293738,-93.3277207
"178",2004,"Lyon","1-Sioux City","3-Third JD","Confirmed",4,4,5,"119","19",43.380497,-96.2102924
"179",2004,"Lyon","1-Sioux City","3-Third JD","Founded",10,21,21,"119","19",43.380497,-96.2102924
"180",2004,"Lyon","1-Sioux City","3-Third JD","Unconfirmed",35,51,57,"119","19",43.380497,-96.2102924
"181",2004,"Madison","6-Des Moines","5-FifthJD","Confirmed",16,26,26,"121","19",41.3307142,-94.0155619
"182",2004,"Madison","6-Des Moines","5-FifthJD","Founded",20,29,29,"121","19",41.3307142,-94.0155619
"183",2004,"Madison","6-Des Moines","5-FifthJD","Unconfirmed",94,117,132,"121","19",41.3307142,-94.0155619
"184",2004,"Mahaska","7-Cedar Rapids","8-Eigth JD","Confirmed",17,25,26,"123","19",41.3352035,-92.6409094
"185",2004,"Mahaska","7-Cedar Rapids","8-Eigth JD","Founded",94,113,127,"123","19",41.3352035,-92.6409094
"186",2004,"Mahaska","7-Cedar Rapids","8-Eigth JD","Unconfirmed",150,135,196,"123","19",41.3352035,-92.6409094
"187",2004,"Marion","6-Des Moines","5-FifthJD","Confirmed",16,23,23,"125","19",41.3344515,-93.0994367
"188",2004,"Marion","6-Des Moines","5-FifthJD","Founded",54,85,86,"125","19",41.3344515,-93.0994367
"189",2004,"Marion","6-Des Moines","5-FifthJD","Unconfirmed",142,197,245,"125","19",41.3344515,-93.0994367
"190",2004,"Marshall","4-Ames","2-Second JD","Confirmed",26,29,31,"127","19",42.0358499,-92.9987706
"191",2004,"Marshall","4-Ames","2-Second JD","Founded",153,209,233,"127","19",42.0358499,-92.9987706
"192",2004,"Marshall","4-Ames","2-Second JD","Unconfirmed",286,279,406,"127","19",42.0358499,-92.9987706
"193",2004,"Mills","5-Council Bluffs","4-FourthJD","Confirmed",3,4,4,"129","19",41.0334523,-95.6213267
"194",2004,"Mills","5-Council Bluffs","4-FourthJD","Founded",33,52,54,"129","19",41.0334523,-95.6213267
"195",2004,"Mills","5-Council Bluffs","4-FourthJD","Unconfirmed",59,73,84,"129","19",41.0334523,-95.6213267
"196",2004,"Mitchell","2-Waterloo","2-Second JD","Confirmed",2,1,2,"131","19",43.3564124,-92.7890315
"197",2004,"Mitchell","2-Waterloo","2-Second JD","Founded",17,26,30,"131","19",43.3564124,-92.7890315
"198",2004,"Mitchell","2-Waterloo","2-Second JD","Unconfirmed",36,43,57,"131","19",43.3564124,-92.7890315
"199",2004,"Monona","5-Council Bluffs","3-Third JD","Confirmed",6,8,9,"133","19",42.0516663,-95.9599235
"200",2004,"Monona","5-Council Bluffs","3-Third JD","Founded",11,16,22,"133","19",42.0516663,-95.9599235
"201",2004,"Monona","5-Council Bluffs","3-Third JD","Unconfirmed",25,32,36,"133","19",42.0516663,-95.9599235
"202",2004,"Monroe","7-Cedar Rapids","8-Eigth JD","Confirmed",4,6,6,"135","19",41.0297826,-92.8689877
"203",2004,"Monroe","7-Cedar Rapids","8-Eigth JD","Founded",31,46,58,"135","19",41.0297826,-92.8689877
"204",2004,"Monroe","7-Cedar Rapids","8-Eigth JD","Unconfirmed",35,44,58,"135","19",41.0297826,-92.8689877
"205",2004,"Montgomery","5-Council Bluffs","4-FourthJD","Confirmed",10,15,17,"137","19",41.03014,-95.1563758
"206",2004,"Montgomery","5-Council Bluffs","4-FourthJD","Founded",55,72,79,"137","19",41.03014,-95.1563758
"207",2004,"Montgomery","5-Council Bluffs","4-FourthJD","Unconfirmed",62,75,96,"137","19",41.03014,-95.1563758
"208",2004,"Muscatine","8-Davenport","7-Seventh JD","Confirmed",31,33,46,"139","19",41.4839221,-91.1127562
"209",2004,"Muscatine","8-Davenport","7-Seventh JD","Founded",208,276,320,"139","19",41.4839221,-91.1127562
"210",2004,"Muscatine","8-Davenport","7-Seventh JD","Unconfirmed",277,302,416,"139","19",41.4839221,-91.1127562
"211",2004,"OBrien","1-Sioux City","3-Third JD","Confirmed",3,5,5,"141","19",43.0837527,-95.6248784
"212",2004,"OBrien","1-Sioux City","3-Third JD","Founded",39,57,70,"141","19",43.0837527,-95.6248784
"213",2004,"OBrien","1-Sioux City","3-Third JD","Unconfirmed",66,86,113,"141","19",43.0837527,-95.6248784
"214",2004,"Osceola","1-Sioux City","3-Third JD","Confirmed",2,2,2,"143","19",43.3785704,-95.6236852
"215",2004,"Osceola","1-Sioux City","3-Third JD","Founded",13,17,18,"143","19",43.3785704,-95.6236852
"216",2004,"Osceola","1-Sioux City","3-Third JD","Unconfirmed",25,26,35,"143","19",43.3785704,-95.6236852
"217",2004,"Page","5-Council Bluffs","4-FourthJD","Confirmed",6,10,12,"145","19",40.7391444,-95.1501747
"218",2004,"Page","5-Council Bluffs","4-FourthJD","Founded",44,55,63,"145","19",40.7391444,-95.1501747
"219",2004,"Page","5-Council Bluffs","4-FourthJD","Unconfirmed",86,106,131,"145","19",40.7391444,-95.1501747
"220",2004,"Palo Alto","1-Sioux City","3-Third JD","Confirmed",2,3,3,"147","19",43.0820643,-94.6781371
"221",2004,"Palo Alto","1-Sioux City","3-Third JD","Founded",27,36,43,"147","19",43.0820643,-94.6781371
"222",2004,"Palo Alto","1-Sioux City","3-Third JD","Unconfirmed",19,26,26,"147","19",43.0820643,-94.6781371
"223",2004,"Plymouth","1-Sioux City","3-Third JD","Confirmed",18,22,26,"149","19",42.7378346,-96.2140431
"224",2004,"Plymouth","1-Sioux City","3-Third JD","Founded",38,62,64,"149","19",42.7378346,-96.2140431
"225",2004,"Plymouth","1-Sioux City","3-Third JD","Unconfirmed",84,108,133,"149","19",42.7378346,-96.2140431
"226",2004,"Pocahontas","4-Ames","2-Second JD","Confirmed",4,5,5,"151","19",42.7341351,-94.6787466
"227",2004,"Pocahontas","4-Ames","2-Second JD","Founded",20,22,23,"151","19",42.7341351,-94.6787466
"228",2004,"Pocahontas","4-Ames","2-Second JD","Unconfirmed",24,29,32,"151","19",42.7341351,-94.6787466
"229",2004,"Polk","6-Des Moines","5-FifthJD","Confirmed",248,283,307,"153","19",41.6855048,-93.5735335
"230",2004,"Polk","6-Des Moines","5-FifthJD","Founded",1044,1401,1566,"153","19",41.6855048,-93.5735335
"231",2004,"Polk","6-Des Moines","5-FifthJD","Unconfirmed",2676,3298,4226,"153","19",41.6855048,-93.5735335
"232",2004,"Pottawattamie","5-Council Bluffs","4-FourthJD","Confirmed",42,53,61,"155","19",41.3366123,-95.5423935
"233",2004,"Pottawattamie","5-Council Bluffs","4-FourthJD","Founded",316,477,506,"155","19",41.3366123,-95.5423935
"234",2004,"Pottawattamie","5-Council Bluffs","4-FourthJD","Unconfirmed",599,723,952,"155","19",41.3366123,-95.5423935
"235",2004,"Poweshiek","4-Ames","8-Eigth JD","Confirmed",10,11,12,"157","19",41.6864422,-92.5314684
"236",2004,"Poweshiek","4-Ames","8-Eigth JD","Founded",36,57,62,"157","19",41.6864422,-92.5314684
