Name,Classification,Status,PhysicalStreetAddress,PhysicalUnitAddress,PhysicalAddressCity,PhysicalAddressZipCode
HY-VEE FOOD STORE - NEWTON,Bakery:Supermarket/Grocery Store Discount Grocery:General Meat:Supermarket/Grocery Store  Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Seafood:Supermarket/Grocery St,Active,1501 1ST AVE E ,,NEWTON,50208
WALMART #3590,Bakery:Supermarket/Grocery Store Discount Grocery:General Meat:Supermarket/Grocery Store  Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Seafood:Supermarket/Grocery St,Active,3101 FLOYD BLVD ,,SIOUX CITY,51108
HY-VEE INC. DBA HY-VEE #2,Bakery:Supermarket/Grocery Store Fast Food:Catering Meat:Supermarket/Grocery Store  Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Seafood:Supermarket/Grocery Store,Active,3140 AGENCY ,,Burlington,52601
WHOLE FOODS MARKET,Bakery:Supermarket/Grocery Store Fast Food:Restaurant without liquor Produce:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Deli:Supermarket/Grocery Store Seafood:Supermarket,Active,4100 UNIVERSITY AVE ,STE 260 ,West Des Moines,50266
HY-VEE FOOD STORE,Bakery:Supermarket/Grocery Store Full Service:Restaurant with Liqour Meat:Supermarket/Grocery Store  Meat:Supermarket/Grocery Store  Deli:Supermarket/Grocery Store Seafood:Supermarket/G,Active,1914 8TH ST ,,CORALVILLE,52241
HY-VEE,Bakery:Supermarket/Grocery Store Full Service:Restaurant with Liqour Meat:Supermarket/Grocery Store  Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store,Active,3600 BUSINESS HIGHWAY 151 E ,,MARION,52302
HY-VEE,Bakery:Supermarket/Grocery Store Full Service:Restaurant with Liqour Meat:Supermarket/Grocery Store  Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Seafood:Supermarket,Active,106 W Washington ST ,,Jefferson,50129
HY-VEE FOOD & DRUGSTORE #1,Bakery:Supermarket/Grocery Store Full Service:Restaurant with Liqour Meat:Supermarket/Grocery Store  Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Seafood:Supermarket,Active,1720 WATERFRONT DR ,,IOWA CITY,52240
HY-VEE FOOD & DRUGSTORE #2,Bakery:Supermarket/Grocery Store Full Service:Restaurant with Liqour Meat:Supermarket/Grocery Store  Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Seafood:Supermarket,Active,812 S 1ST AVE ,,IOWA CITY,52245
HY-VEE - DES MOINES #3,Bakery:Supermarket/Grocery Store Full Service:Restaurant with Liqour Seafood:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Produce:Supermarket/Grocery Store Meat:Supermarket/,Active,3221 SE 14TH ST ,,DES MOINES,50315
HY-VEE - WAUKEE,Bakery:Supermarket/Grocery Store Full Service:Restaurant with Liqour Seafood:Supermarket/Grocery Store Produce:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Deli:Supermarket,Active,1005 E HICKMAN ,,WAUKEE,50263
HY-VEE FOOD STORE,Bakery:Supermarket/Grocery Store Full Service:Restaurant without liquor Deli:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Produce Seafood:Supermarket/Grocery Store,Active,1700 E WASHINGTON ST ,,MOUNT PLEASANT,52641
HY-VEE FOOD STORE #3,Bakery:Supermarket/Grocery Store Full Service:Restaurant without liquor Meat:Supermarket/Grocery Store  Discount Grocery:General,Active,3301 GORDON DR ,,SIOUX CITY,51105
GATEWAY MARKET,Bakery:Supermarket/Grocery Store Full Service:Restaurant without liquor Produce:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Deli:Supermarket/Grocery Store,Active,2002 WOODLAND AVE ,,Des Moines,50312
FAREWAY STORE #561,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Deli:Supermarket/Grocery Store Discount Grocery,Active,222 BREMER AVE ,,WAVERLY,50677
HY-VEE - DES MOINES #5,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Deli:Supermarket/Grocery Store Full Service:Restaurant with Liqour Produce:Supermarket/Grocery Store Seafood:Supermarket,Active,1107 SE ARMY POST ,,DES MOINES,50315
